generic_name,status,pmid,label,year,first_author,title,pub_types,reason,url
adrenocorticotropic hormone,rejected,37909654,,2023,Sun,"Safety and efficacy of melatonin supplementation as an add-on treatment for infantile epileptic spasms syndrome: A randomized, placebo-controlled, double-blind trial.",Randomized Controlled Trial; Journal Article,drug term not in title,https://pubmed.ncbi.nlm.nih.gov/37909654/
adrenocorticotropic hormone,rejected,35788069,,2022,Sun,Melatonin supplementation for the treatment of infantile spasms: protocol for a randomised placebo-controlled triple-blind trial.,"Clinical Trial Protocol; Journal Article; Research Support, Non-U.S. Gov't",drug term not in title,https://pubmed.ncbi.nlm.nih.gov/35788069/
adrenocorticotropic hormone,rejected,22889307,,2012,Bitton,A randomized controlled trial of flunarizine as add-on therapy and effect on cognitive outcome in children with infantile spasms.,"Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",drug term not in title,https://pubmed.ncbi.nlm.nih.gov/22889307/
adrenocorticotropic hormone,rejected,9683002,,1998,Murck,Mg2+ reduces ACTH secretion and enhances spindle power without changing delta power during sleep in men -- possible therapeutic implications.,Clinical Trial; Journal Article; Randomized Controlled Trial,drug appears in title but not as primary intervention,https://pubmed.ncbi.nlm.nih.gov/9683002/
adrenocorticotropic hormone,rejected,3939740,,1985,Dyken,Short term effects of valproate on infantile spasms.,"Clinical Trial; Journal Article; Randomized Controlled Trial; Research Support, U.S. Gov't, P.H.S.",drug term not in title,https://pubmed.ncbi.nlm.nih.gov/3939740/
adrenocorticotropic hormone,rejected,6312008,,1983,Hrachovy,Double-blind study of ACTH vs prednisone therapy in infantile spasms.,"Clinical Trial; Controlled Clinical Trial; Journal Article; Research Support, U.S. Gov't, P.H.S.",active-comparator/comparison title without placebo,https://pubmed.ncbi.nlm.nih.gov/6312008/
adrenocorticotropic hormone,rejected,193359,,1977,Small,Effects of ACTH 4-10 on ECT-induced memory dysfunctions.,Clinical Trial; Controlled Clinical Trial; Journal Article,title lacks seizure/epilepsy context,https://pubmed.ncbi.nlm.nih.gov/193359/
brivaracetam,included,42092987,Yu2026,2026,Yu,"Efficacy and safety of Brivaracetam as an adjunctive therapy in patients with focal-onset seizures: a phase III, multi-center, randomized, double-blind, placebo-controlled trial.",Journal Article,qualifying placebo-controlled randomized clinical trial report,https://pubmed.ncbi.nlm.nih.gov/42092987/
brivaracetam,included,38576178,Inoue2024,2024,Inoue,"Efficacy, safety, and tolerability of adjunctive brivaracetam in adult Asian patients with uncontrolled focal-onset seizures: A phase III randomized, double-blind, placebo-controlled trial.","Journal Article; Randomized Controlled Trial; Clinical Trial, Phase III; Multicenter Study",qualifying placebo-controlled randomized clinical trial report,https://pubmed.ncbi.nlm.nih.gov/38576178/
brivaracetam,included,35844134,Bast2022,2022,Bast,Efficacy and tolerability of brivaracetam monotherapy in childhood and juvenile absence epilepsy: An innovative adaptive trial design.,"Randomized Controlled Trial; Multicenter Study; Journal Article; Research Support, Non-U.S. Gov't; Adaptive Clinical Trial",qualifying placebo-controlled randomized clinical trial report,https://pubmed.ncbi.nlm.nih.gov/35844134/
